Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/09/2023
TIME       : 09:43:35
FILENAME   : C:\Users\jamar\Documents\Masters Thesis Project\Magueyes\CSV\VEI_S2_230907094335_X4479.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
                          =0
  Location                =VEI_S2
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
  Location                =VEI_S2
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =48:30:11 17/08/23
  End date / time         =48:30:09 07/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2023/08/19 21:00:48,1280.892,31.507,50.156
2023/08/19 21:15:48,1281.242,31.490,50.220
2023/08/19 21:30:48,1277.450,31.483,50.240
2023/08/19 21:45:48,1279.550,31.477,50.244
2023/08/19 22:00:48,1280.483,31.460,50.284
2023/08/19 22:15:48,1280.483,31.443,50.332
2023/08/19 22:30:48,1277.742,31.453,50.332
2023/08/19 22:45:48,1279.083,31.437,50.356
2023/08/19 23:00:48,1278.967,31.437,50.364
2023/08/19 23:15:48,1277.333,31.490,50.444
2023/08/19 23:30:48,1275.933,31.523,50.464
2023/08/19 23:45:48,1276.575,31.530,50.488
2023/08/20 00:00:48,1276.108,31.547,50.548
2023/08/20 00:15:48,1275.525,31.547,50.524
2023/08/20 00:30:48,1273.833,31.570,50.584
2023/08/20 00:45:48,1275.817,31.560,50.620
2023/08/20 01:00:48,1274.125,31.553,50.620
2023/08/20 01:15:48,1274.300,31.547,50.592
2023/08/20 01:30:48,1274.300,31.537,50.604
2023/08/20 01:45:48,1272.317,31.513,50.620
2023/08/20 02:00:48,1273.250,31.483,50.604
2023/08/20 02:15:48,1272.317,31.477,50.604
2023/08/20 02:30:48,1272.958,31.453,50.596
2023/08/20 02:45:48,1273.075,31.443,50.592
2023/08/20 03:00:48,1272.492,31.437,50.544
2023/08/20 03:15:48,1270.858,31.420,50.564
2023/08/20 03:30:48,1271.733,31.407,50.560
2023/08/20 03:45:48,1273.542,31.373,50.520
2023/08/20 04:00:48,1272.317,31.373,50.540
2023/08/20 04:15:48,1271.558,31.373,50.556
2023/08/20 04:30:48,1271.908,31.327,50.520
2023/08/20 04:45:48,1272.492,31.287,50.456
2023/08/20 05:00:48,1271.733,31.257,50.896
2023/08/20 05:15:48,1271.267,31.240,50.844
2023/08/20 05:30:48,1273.542,31.203,50.848
2023/08/20 05:45:48,1271.908,31.203,50.828
2023/08/20 06:00:48,1273.367,31.187,50.844
2023/08/20 06:15:48,1272.667,31.163,50.828
2023/08/20 06:30:48,1272.667,31.147,50.804
2023/08/20 06:45:48,1273.075,31.140,50.788
2023/08/20 07:00:48,1272.200,31.123,50.760
2023/08/20 07:15:48,1273.075,31.110,50.752
2023/08/20 07:30:48,1271.442,31.070,50.732
2023/08/20 07:45:48,1272.200,31.060,50.700
2023/08/20 08:00:48,1271.733,31.053,50.668
2023/08/20 08:15:48,1272.317,31.013,50.636
2023/08/20 08:30:48,1272.492,31.013,50.700
2023/08/20 08:45:48,1271.558,31.053,50.664
2023/08/20 09:00:48,1272.200,31.077,50.668
2023/08/20 09:15:48,1272.025,31.093,50.672
2023/08/20 09:30:48,1272.200,31.147,50.720
2023/08/20 09:45:48,1272.200,31.233,50.776
2023/08/20 10:00:48,1272.492,31.310,50.420
2023/08/20 10:15:48,1272.667,31.383,50.432
2023/08/20 10:30:48,1273.542,31.350,50.460
2023/08/20 10:45:48,1273.542,31.367,50.488
2023/08/20 11:00:48,1274.008,31.413,50.484
2023/08/20 11:15:48,1271.733,31.490,50.548
2023/08/20 11:30:48,1270.858,31.443,44.924
2023/08/20 11:45:48,1272.317,31.530,45.300
2023/08/20 12:00:48,1270.683,31.547,45.720
2023/08/20 12:15:48,1271.908,31.560,46.016
2023/08/20 12:30:48,1270.975,31.600,46.288
2023/08/20 12:45:48,1272.783,31.610,46.608
2023/08/20 13:00:48,1270.508,31.647,46.908
2023/08/20 13:15:48,1271.150,31.680,47.132
2023/08/20 13:30:48,1272.667,31.670,47.452
2023/08/20 13:45:48,1272.317,31.710,47.728
2023/08/20 14:00:48,1271.267,31.787,47.928
2023/08/20 14:15:48,1274.125,31.797,48.168
2023/08/20 14:30:48,1273.367,31.763,48.292
2023/08/20 14:45:48,1270.683,31.750,48.416
2023/08/20 15:00:48,1273.833,31.780,48.612
2023/08/20 15:15:48,1273.542,31.810,48.372
2023/08/20 15:30:48,1274.125,31.820,48.528
2023/08/20 15:45:48,1275.175,31.797,49.080
2023/08/20 16:00:48,1274.883,31.797,49.244
2023/08/20 16:15:48,1276.692,31.803,49.380
2023/08/20 16:30:48,1276.867,31.803,49.504
2023/08/20 16:45:48,1276.692,31.773,49.600
2023/08/20 17:00:48,1276.108,31.733,49.676
2023/08/20 17:15:48,1273.542,31.740,49.772
2023/08/20 17:30:48,1278.967,31.710,49.784
2023/08/20 17:45:48,1279.258,31.663,49.788
2023/08/20 18:00:48,1279.083,31.647,49.840
2023/08/20 18:15:48,1280.892,31.640,49.964
2023/08/20 18:30:48,1278.208,31.600,50.008
2023/08/20 18:45:48,1279.550,31.560,50.000
2023/08/20 19:00:48,1278.208,31.513,50.040
2023/08/20 19:15:48,1277.625,31.483,50.080
2023/08/20 19:30:48,1280.892,31.477,50.100
2023/08/20 19:45:48,1280.192,31.413,50.044
2023/08/20 20:00:48,1278.033,31.367,50.064
2023/08/20 20:15:48,1278.792,31.320,50.072
2023/08/20 20:30:48,1278.675,31.327,50.084
2023/08/20 20:45:48,1278.033,31.263,50.548
2023/08/20 21:00:48,1279.258,31.257,50.556
2023/08/20 21:15:48,1279.258,31.240,50.568
2023/08/20 21:30:48,1277.742,31.193,50.556
2023/08/20 21:45:48,1278.033,31.193,50.604
2023/08/20 22:00:48,1278.033,31.140,50.568
2023/08/20 22:15:48,1278.383,31.133,50.584
2023/08/20 22:30:48,1277.450,31.117,50.588
2023/08/20 22:45:48,1277.917,31.077,50.588
2023/08/20 23:00:48,1279.433,31.030,50.532
2023/08/20 23:15:48,1277.450,31.013,50.552
2023/08/20 23:30:48,1276.400,31.000,50.552
2023/08/20 23:45:48,1277.625,30.953,50.544
2023/08/21 00:00:48,1276.983,30.977,50.608
2023/08/21 00:15:48,1275.933,30.930,50.560
2023/08/21 00:30:48,1275.642,30.920,50.580
2023/08/21 00:45:48,1275.058,30.890,50.608
2023/08/21 01:00:48,1273.367,30.860,50.580
2023/08/21 01:15:48,1273.250,30.833,50.552
2023/08/21 01:30:48,1274.008,30.803,50.556
2023/08/21 01:45:48,1272.025,30.803,50.548
2023/08/21 02:00:48,1271.150,30.750,50.960
2023/08/21 02:15:48,1272.667,30.703,50.928
2023/08/21 02:30:48,1271.908,30.710,50.984
2023/08/21 02:45:48,1270.683,30.703,50.964
2023/08/21 03:00:48,1270.975,30.623,50.880
2023/08/21 03:15:48,1272.200,30.577,50.848
2023/08/21 03:30:48,1272.025,30.513,50.800
2023/08/21 03:45:48,1273.367,30.513,50.784
2023/08/21 04:00:48,1273.833,30.477,50.732
2023/08/21 04:15:48,1272.958,30.477,50.676
2023/08/21 04:30:48,1273.367,30.437,50.696
2023/08/21 04:45:48,1273.717,30.453,50.660
2023/08/21 05:00:48,1275.817,30.430,50.692
2023/08/21 05:15:48,1274.300,30.437,50.684
2023/08/21 05:30:48,1274.417,30.453,50.676
2023/08/21 05:45:48,1274.592,30.420,50.692
2023/08/21 06:00:48,1275.175,30.327,50.608
2023/08/21 06:15:48,1275.525,30.210,50.800
2023/08/21 06:30:48,1274.300,30.180,50.904
2023/08/21 06:45:48,1274.417,30.170,50.952
2023/08/21 07:00:48,1274.417,30.170,50.920
2023/08/21 07:15:48,1276.108,30.180,50.912
2023/08/21 07:30:48,1273.542,30.170,50.884
2023/08/21 07:45:48,1274.125,30.163,50.584
2023/08/21 08:00:48,1274.883,30.133,50.844
2023/08/21 08:15:48,1273.717,30.170,50.888
2023/08/21 08:30:48,1271.442,30.210,50.944
2023/08/21 08:45:48,1273.075,30.233,50.832
2023/08/21 09:00:48,1272.958,30.217,50.988
2023/08/21 09:15:48,1272.025,30.250,50.540
2023/08/21 09:30:48,1273.367,30.303,50.516
2023/08/21 09:45:48,1273.542,30.327,50.504
2023/08/21 10:00:48,1273.542,30.297,50.472
2023/08/21 10:15:48,1275.817,30.297,50.520
2023/08/21 10:30:48,1276.983,30.287,50.488
2023/08/21 10:45:48,1275.933,30.263,50.496
2023/08/21 11:00:48,1274.417,30.280,50.440
2023/08/21 11:15:48,1275.525,30.273,50.480
2023/08/21 11:30:48,1275.525,30.303,50.588
2023/08/21 11:45:48,1274.125,30.263,50.528
2023/08/21 12:00:48,1274.008,30.257,50.680
2023/08/21 12:15:48,1275.175,30.133,50.988
2023/08/21 12:30:48,1274.767,30.093,50.968
2023/08/21 12:45:48,1275.350,30.100,50.988
2023/08/21 13:00:48,1275.933,30.093,50.924
2023/08/21 13:15:48,1275.175,30.083,50.980
2023/08/21 13:30:48,1274.592,30.133,50.988
2023/08/21 13:45:48,1274.008,30.147,50.972
2023/08/21 14:00:48,1273.833,30.180,51.004
2023/08/21 14:15:48,1275.175,30.180,51.004
2023/08/21 14:30:48,1275.642,30.157,50.984
2023/08/21 14:45:48,1276.225,30.170,51.020
2023/08/21 15:00:48,1278.033,30.170,51.016
2023/08/21 15:15:48,1277.742,30.157,50.988
2023/08/21 15:30:48,1279.083,30.157,51.052
2023/08/21 15:45:48,1277.450,30.163,51.044
2023/08/21 16:00:48,1280.192,30.163,51.024
2023/08/21 16:15:48,1278.967,30.140,51.012
2023/08/21 16:30:48,1280.192,30.133,51.004
