ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-09T15:36:50.000,0.22,328.92,0.19,-0.11
2023-09-09T15:51:50.000,0.09,97.81,-0.01,0.09
2023-09-09T16:06:50.000,0.06,131.33,-0.04,0.05
2023-09-09T16:21:50.000,0.18,99.18,-0.03,0.18
2023-09-09T16:36:50.000,0.15,60.78,0.07,0.13
2023-09-09T16:51:50.000,0.37,111.36,-0.14,0.35
2023-09-09T17:06:50.000,0.07,63.74,0.03,0.06
2023-09-09T17:21:50.000,0.13,183.72,-0.13,-0.01
2023-09-09T17:36:50.000,0.17,110.29,-0.06,0.16
2023-09-09T17:51:50.000,0.25,121.30,-0.13,0.21
2023-09-09T18:06:50.000,0.33,116.59,-0.15,0.29
2023-09-09T18:21:50.000,0.16,64.91,0.07,0.14
2023-09-09T18:36:50.000,0.10,184.74,-0.10,-0.01
2023-09-09T18:51:50.000,0.07,240.49,-0.03,-0.06
2023-09-09T19:06:50.000,0.19,249.94,-0.06,-0.18
2023-09-09T19:21:50.000,0.41,334.81,0.37,-0.18
2023-09-09T19:36:50.000,0.10,296.52,0.05,-0.09
2023-09-09T19:51:50.000,0.18,246.64,-0.07,-0.17
2023-09-09T20:06:50.000,0.27,227.15,-0.18,-0.20
2023-09-09T20:21:50.000,0.20,255.43,-0.05,-0.19
2023-09-09T20:36:50.000,0.12,226.60,-0.08,-0.09
2023-09-09T20:51:50.000,0.30,247.81,-0.11,-0.28
2023-09-09T21:06:50.000,0.04,225.68,-0.03,-0.03
2023-09-09T21:21:50.000,0.03,266.69,-0.00,-0.03
2023-09-09T21:36:50.000,0.08,302.66,0.04,-0.07
2023-09-09T21:51:50.000,0.11,224.63,-0.08,-0.08
2023-09-09T22:06:50.000,0.05,266.32,-0.00,-0.05
2023-09-09T22:21:50.000,0.04,336.82,0.04,-0.02
2023-09-09T22:36:50.000,0.07,262.93,-0.01,-0.07
2023-09-09T22:51:50.000,0.20,179.66,-0.20,0.00
2023-09-09T23:06:50.000,0.06,190.00,-0.06,-0.01
2023-09-09T23:21:50.000,0.13,83.90,0.01,0.13
