ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-19T08:59:22.000,0.18,109.45,-0.06,0.17
2023-08-19T09:14:22.000,0.53,218.39,-0.42,-0.33
2023-08-19T09:29:22.000,0.4,247.51,-0.15,-0.37
2023-08-19T09:44:22.000,0.32,124.56,-0.18,0.26
2023-08-19T09:59:22.000,0.38,129.1,-0.24,0.3
2023-08-19T10:14:22.000,0.31,73.81,0.09,0.3
2023-08-19T10:29:22.000,0.28,120.74,-0.14,0.24
2023-08-19T10:44:22.000,0.44,118.3,-0.21,0.39
2023-08-19T10:59:22.000,0.95,84.19,0.1,0.94
2023-08-19T11:14:22.000,0.59,127.65,-0.36,0.47
2023-08-19T11:29:22.000,0.55,83.36,0.06,0.54
2023-08-19T11:44:22.000,0.48,94.05,-0.03,0.47
2023-08-19T11:59:22.000,0.67,102.03,-0.14,0.65
2023-08-19T12:14:22.000,1.93,133.68,-1.33,1.4
2023-08-19T12:29:22.000,0.84,102.34,-0.18,0.82
2023-08-19T12:44:22.000,1.09,125.68,-0.64,0.89
2023-08-19T12:59:22.000,0.65,129.52,-0.41,0.5
2023-08-19T13:14:22.000,1.19,126.41,-0.71,0.96
2023-08-19T13:29:22.000,0.66,98.77,-0.1,0.65
2023-08-19T13:44:22.000,0.44,88.26,0.01,0.44
2023-08-19T13:59:22.000,1.1,91.75,-0.03,1.1
2023-08-19T14:14:22.000,0.48,127.01,-0.29,0.38
2023-08-19T14:29:22.000,0.55,124.27,-0.31,0.46
2023-08-19T14:44:22.000,0.77,111.34,-0.28,0.72
2023-08-19T14:59:22.000,0.76,120.84,-0.39,0.65
2023-08-19T15:14:22.000,0.84,95.38,-0.08,0.84
2023-08-19T15:29:22.000,0.63,86.33,0.04,0.62
2023-08-19T15:44:22.000,0.54,100.27,-0.1,0.53
2023-08-19T15:59:22.000,0.64,75.67,0.16,0.62
2023-08-19T16:14:22.000,0.7,106.91,-0.2,0.67
2023-08-19T16:29:22.000,0.52,133.14,-0.36,0.38
2023-08-19T16:44:22.000,0.42,79.31,0.08,0.42
2023-08-19T16:59:22.000,0.42,75.85,0.1,0.41
2023-08-19T17:14:22.000,0.37,71.16,0.12,0.35
2023-08-19T17:29:22.000,0.73,89.09,0.01,0.73
2023-08-19T17:44:22.000,0.34,92.77,-0.02,0.34
2023-08-19T17:59:22.000,0.45,105.19,-0.12,0.43
2023-08-19T18:14:22.000,0.67,97.94,-0.09,0.66
2023-08-19T18:29:22.000,0.45,65.98,0.18,0.41
2023-08-19T18:44:22.000,0.56,74.21,0.15,0.54
2023-08-19T18:59:22.000,0.33,78.99,0.06,0.32
2023-08-19T19:14:22.000,0.57,48.33,0.38,0.43
2023-08-19T19:29:22.000,0.56,63.77,0.25,0.5
2023-08-19T19:44:22.000,0.41,59.64,0.21,0.36
2023-08-19T19:59:22.000,0.48,65.13,0.2,0.44
2023-08-19T20:14:22.000,0.58,59.42,0.29,0.5
2023-08-19T20:29:22.000,0.59,111.1,-0.21,0.55
2023-08-19T20:44:22.000,0.18,106.05,-0.05,0.17
2023-08-19T20:59:22.000,0.33,125.54,-0.19,0.27
2023-08-19T21:14:22.000,0.45,76.11,0.11,0.43
2023-08-19T21:29:22.000,0.51,110.79,-0.18,0.47
2023-08-19T21:44:22.000,0.5,90.48,0,0.5
2023-08-19T21:59:22.000,0.43,109.46,-0.14,0.41
2023-08-19T22:14:22.000,0.33,124.35,-0.19,0.28
