ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-19T01:23:20.000,0.17,70.51,0.06,0.16
2023-08-19T01:38:20.000,0.19,224.73,-0.14,-0.14
2023-08-19T01:53:20.000,0.15,175.84,-0.15,0.01
2023-08-19T02:08:20.000,0.08,223.91,-0.06,-0.06
2023-08-19T02:23:20.000,0.08,76.61,0.02,0.08
2023-08-19T02:38:20.000,0.34,189.55,-0.33,-0.06
2023-08-19T02:53:20.000,0.09,313.69,0.06,-0.07
2023-08-19T03:08:20.000,0.09,63.48,0.04,0.08
2023-08-19T03:23:20.000,0.45,222.00,-0.33,-0.30
2023-08-19T03:38:20.000,0.34,190.66,-0.33,-0.06
2023-08-19T03:53:20.000,0.05,202.60,-0.04,-0.02
2023-08-19T04:08:20.000,0.29,186.66,-0.29,-0.03
2023-08-19T04:23:20.000,0.30,234.95,-0.17,-0.25
2023-08-19T04:38:20.000,0.11,212.15,-0.10,-0.06
2023-08-19T04:53:20.000,0.29,221.57,-0.22,-0.19
2023-08-19T05:08:20.000,0.67,215.76,-0.55,-0.39
2023-08-19T05:23:20.000,0.14,247.46,-0.05,-0.13
2023-08-19T05:38:20.000,0.18,160.05,-0.17,0.06
2023-08-19T05:53:20.000,0.14,117.44,-0.06,0.12
2023-08-19T06:08:20.000,0.06,51.60,0.04,0.05
2023-08-19T06:23:20.000,0.06,31.84,0.05,0.03
2023-08-19T06:38:20.000,0.05,300.49,0.03,-0.04
2023-08-19T06:53:20.000,0.28,13.10,0.28,0.06
2023-08-19T07:08:20.000,0.12,12.08,0.11,0.02
2023-08-19T07:23:20.000,0.22,27.54,0.19,0.10
2023-08-19T07:38:20.000,0.20,357.10,0.20,-0.01
2023-08-19T07:53:20.000,0.14,25.23,0.13,0.06
2023-08-19T08:08:20.000,0.15,1.39,0.15,0.00
2023-08-19T08:23:20.000,0.32,25.92,0.29,0.14
2023-08-19T08:38:20.000,0.25,331.47,0.22,-0.12
2023-08-19T08:53:20.000,0.62,244.28,-0.27,-0.56
2023-08-19T09:08:20.000,0.32,204.68,-0.29,-0.13
2023-08-19T09:23:20.000,0.61,212.98,-0.51,-0.33
2023-08-19T09:38:20.000,0.11,197.69,-0.11,-0.03
2023-08-19T09:53:20.000,0.23,8.36,0.23,0.03
2023-08-19T10:08:20.000,0.18,280.90,0.03,-0.18
2023-08-19T10:23:20.000,0.20,75.93,0.05,0.19
2023-08-19T10:38:20.000,0.43,73.86,0.12,0.41
2023-08-19T10:53:20.000,0.44,126.18,-0.26,0.36
2023-08-19T11:08:20.000,0.47,63.02,0.21,0.42
2023-08-19T11:23:20.000,0.33,81.69,0.05,0.33
2023-08-19T11:38:20.000,0.62,106.12,-0.17,0.60
2023-08-19T11:53:20.000,0.52,68.95,0.19,0.48
2023-08-19T12:08:20.000,2.02,93.53,-0.12,2.01
2023-08-19T12:23:20.000,1.50,110.44,-0.52,1.41
2023-08-19T12:38:20.000,1.26,99.72,-0.21,1.24
2023-08-19T12:53:20.000,1.02,99.42,-0.17,1.00
2023-08-19T13:08:20.000,1.30,110.00,-0.44,1.22
2023-08-19T13:23:20.000,0.68,94.86,-0.06,0.67
2023-08-19T13:38:20.000,0.55,52.90,0.33,0.44
2023-08-19T13:53:20.000,0.33,135.60,-0.24,0.23
2023-08-19T14:08:20.000,0.80,91.80,-0.03,0.80
2023-08-19T14:23:20.000,0.40,47.95,0.27,0.30
2023-08-19T14:38:20.000,0.71,85.07,0.06,0.70
2023-08-19T14:53:20.000,0.97,100.96,-0.19,0.96
2023-08-19T15:08:20.000,0.96,93.47,-0.06,0.96
