Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/19/2023,1:12,0.227,-,0.348
8/19/2023,1:18,0.228,-,0.347
8/19/2023,1:24,0.229,-,0.347
8/19/2023,1:30,0.229,-,0.351
8/19/2023,1:36,0.23,-,0.351
8/19/2023,1:42,0.23,-,0.356
8/19/2023,1:48,0.23,-,0.358
8/19/2023,1:54,0.23,-,0.355
8/19/2023,2:00,0.23,-,0.35
8/19/2023,2:06,0.23,-,0.343
8/19/2023,2:12,0.23,-,0.342
8/19/2023,2:18,0.229,-,0.344
8/19/2023,2:24,0.229,-,0.344
8/19/2023,2:30,0.228,-,0.353
8/19/2023,2:36,0.228,-,0.36
8/19/2023,2:42,0.227,-,0.36
8/19/2023,2:48,0.226,-,0.354
8/19/2023,2:54,0.226,-,0.353
8/19/2023,3:00,0.225,-,0.348
8/19/2023,3:06,0.224,-,0.342
8/19/2023,3:12,0.223,-,0.345
8/19/2023,3:18,0.222,-,0.356
8/19/2023,3:24,0.221,-,0.356
8/19/2023,3:30,0.22,-,0.356
8/19/2023,3:36,0.219,-,0.354
8/19/2023,3:42,0.218,-,0.351
8/19/2023,3:48,0.216,-,0.345
8/19/2023,3:54,0.215,-,0.338
8/19/2023,4:00,0.214,-,0.339
8/19/2023,4:06,0.213,-,0.344
8/19/2023,4:12,0.212,-,0.346
8/19/2023,4:18,0.211,-,0.345
8/19/2023,4:24,0.209,-,0.351
8/19/2023,4:30,0.208,-,0.352
8/19/2023,4:36,0.207,-,0.35
8/19/2023,4:42,0.206,-,0.347
8/19/2023,4:48,0.205,-,0.343
8/19/2023,4:54,0.204,-,0.341
8/19/2023,5:00,0.203,-,0.34
8/19/2023,5:06,0.202,-,0.344
8/19/2023,5:12,0.2,-,0.348
8/19/2023,5:18,0.199,-,0.349
8/19/2023,5:24,0.198,-,0.35
8/19/2023,5:30,0.197,-,0.351
8/19/2023,5:36,0.196,-,0.35
8/19/2023,5:42,0.195,-,0.342
8/19/2023,5:48,0.194,-,0.331
8/19/2023,5:54,0.193,-,0.332
8/19/2023,6:00,0.192,-,0.34
8/19/2023,6:06,0.191,-,0.346
8/19/2023,6:12,0.19,-,0.345
8/19/2023,6:18,0.19,-,0.343
8/19/2023,6:24,0.189,-,0.335
8/19/2023,6:30,0.188,-,0.329
8/19/2023,6:36,0.187,-,0.331
8/19/2023,6:42,0.186,-,0.331
8/19/2023,6:48,0.185,-,0.335
8/19/2023,6:54,0.184,-,0.337
8/19/2023,7:00,0.183,-,0.342
8/19/2023,7:06,0.182,-,0.339
8/19/2023,7:12,0.181,-,0.335
8/19/2023,7:18,0.18,-,0.331
8/19/2023,7:24,0.179,-,0.328
8/19/2023,7:30,0.178,-,0.329
8/19/2023,7:36,0.177,-,0.331
8/19/2023,7:42,0.176,-,0.334
8/19/2023,7:48,0.175,-,0.33
8/19/2023,7:54,0.174,-,0.332
8/19/2023,8:00,0.173,-,0.329
8/19/2023,8:06,0.172,-,0.329
8/19/2023,8:12,0.171,-,0.323
8/19/2023,8:18,0.17,-,0.319
8/19/2023,8:24,0.169,-,0.323
8/19/2023,8:30,0.167,-,0.321
8/19/2023,8:36,0.166,-,0.317
8/19/2023,8:42,0.165,-,0.321
8/19/2023,8:48,0.164,-,0.321
8/19/2023,8:54,0.163,-,0.328
8/19/2023,9:00,0.162,-,0.326
8/19/2023,9:06,0.161,-,0.326
8/19/2023,9:12,0.16,-,0.323
8/19/2023,9:18,0.159,-,0.321
8/19/2023,9:24,0.158,-,0.313
8/19/2023,9:30,0.157,-,0.315
8/19/2023,9:36,0.157,-,0.31
8/19/2023,9:42,0.156,-,0.311
8/19/2023,9:48,0.155,-,0.314
8/19/2023,9:54,0.154,-,0.31
8/19/2023,10:00,0.153,-,0.31
8/19/2023,10:06,0.153,-,0.304
8/19/2023,10:12,0.152,-,0.303
8/19/2023,10:18,0.151,-,0.303
8/19/2023,10:24,0.151,-,0.302
8/19/2023,10:30,0.15,-,0.296
8/19/2023,10:36,0.149,-,0.297
8/19/2023,10:42,0.149,-,0.293
8/19/2023,10:48,0.148,-,0.294
8/19/2023,10:54,0.148,-,0.291
8/19/2023,11:00,0.147,-,0.285
8/19/2023,11:06,0.147,-,0.291
8/19/2023,11:12,0.147,-,0.292
8/19/2023,11:18,0.146,-,0.286
8/19/2023,11:24,0.146,-,0.279
8/19/2023,11:30,0.146,-,0.282
8/19/2023,11:36,0.146,-,0.28
8/19/2023,11:42,0.145,-,0.277
8/19/2023,11:48,0.145,-,0.286
8/19/2023,11:54,0.145,-,0.289
8/19/2023,12:00,0.145,-,0.29
8/19/2023,12:06,0.144,-,0.287
8/19/2023,12:12,0.144,-,0.285
8/19/2023,12:18,0.144,-,0.279
8/19/2023,12:24,0.144,-,0.272
8/19/2023,12:30,0.143,-,0.281
8/19/2023,12:36,0.143,-,0.28
8/19/2023,12:42,0.143,-,0.286
8/19/2023,12:48,0.143,-,0.286
8/19/2023,12:54,0.142,-,0.293
8/19/2023,13:00,0.142,-,0.288
8/19/2023,13:06,0.142,-,0.284
8/19/2023,13:12,0.141,-,0.287
8/19/2023,13:18,0.141,-,0.284
8/19/2023,13:24,0.14,-,0.29
8/19/2023,13:30,0.14,-,0.289
8/19/2023,13:36,0.139,-,0.296
8/19/2023,13:42,0.139,-,0.295
8/19/2023,13:48,0.138,-,0.293
8/19/2023,13:54,0.138,-,0.287
8/19/2023,14:00,0.137,-,0.282
8/19/2023,14:06,0.136,-,0.286
8/19/2023,14:12,0.136,-,0.287
8/19/2023,14:18,0.135,-,0.293
8/19/2023,14:24,0.134,-,0.294
8/19/2023,14:30,0.133,-,0.299
8/19/2023,14:36,0.132,-,0.295
8/19/2023,14:42,0.132,-,0.289
8/19/2023,14:48,0.131,-,0.284
8/19/2023,14:54,0.13,-,0.28
8/19/2023,15:00,0.129,-,0.284
8/19/2023,15:06,0.128,-,0.282
8/19/2023,15:12,0.127,-,0.288
8/19/2023,15:18,0.127,-,0.288
8/19/2023,15:24,0.126,-,0.292
8/19/2023,15:30,0.125,-,0.292
8/19/2023,15:36,0.124,-,0.294
8/19/2023,15:42,0.123,-,0.285
8/19/2023,15:48,0.123,-,0.28
8/19/2023,15:54,0.122,-,0.284
8/19/2023,16:00,0.121,-,0.288
8/19/2023,16:06,0.121,-,0.292
8/19/2023,16:12,0.12,-,0.289
8/19/2023,16:18,0.12,-,0.279
8/19/2023,16:24,0.119,-,0.274
8/19/2023,16:30,0.119,-,0.269
